Total paragraphs: 3934

[ 68] s=30  | 정해놓고 - 생각하라
[184] s=62  | 조선에서 법전의 기본적인 원천은 ‘수교(受敎)’이다. 어떤 사건이 매우 중대하다고 여겨지면 국왕은 조정의 회의를 열고 처리 지침을 만들어 사건을 해결한다. 이 지침이 앞으로도 같은 종류의 사건을 해결하는 데 적합하겠다고 판단되면, 국왕의 하명 형식을 갖는 법령으로 만들어지는데, 이를 수교라 한다. 그리고 이후의 시행 과정에서 폐단이 없고 유용하다고 확인된 수교들은 다시 다듬어지고 정리되어 ‘록(錄)’이라는 이름이 붙은 법전에 실린다. 여기에 수록된 규정들 가운데에 지속적인 적용을 거치면서 영구히 시행할 만한 것이라 판정된 것은 마침내 ‘대전(大典)’이라는 법전에 오르게 된다.
[185] s=62  | 성종 때에 확정된 ≪경국대전≫(1485)은 이 과정을 거친 규정들을 체계적으로 집대성한 통일 법전이다. 꾸준한 정련을 거쳐 ‘대전’에 오른 이 규정들은 ‘양법미의(良法美意)’라 하였다. 백성들에게 항구히 시행할 만한 아름다운 규범이라는 의미이다. 실제로 이 ≪경국대전≫은 조선 왕조가 끝날 때까지 국가 기본 법전의 역할을 수행해 왔고, 그 안에 실린 규정들은 개정되지 않았다. 선왕들이 심혈을 기울여 만들고 오랜 시행으로 검증하여 영원토록 시행할 것으로 판정된 규범은 ‘조종성헌(祖宗成憲)’이라 불렸고, 이는 함부로 고칠 수 없다고 생각되었다. 왕도에 근접하였다고 여긴 것이다. ‘대전’에 실린 규정은 조종성헌으로 받아들여졌고, 따라서 국왕이라 해도 그것을 어길 수 없었다.
[186] s=62  | 율곡의 법제 개혁론은 조종성헌을 변혁하자는 것이 아니다. 그는 성종을 이은 연산군 때 제정된 조세 법령이 여전히 백성의 삶을 피폐하게 하는데도 고쳐지지 않는 실정을 지적하는 등 폐단이 있는 여러 법령들을 거론한다. 이런 법령들은 고수할 것이 아니라 바꾸어야만 한다고 역설한다. 그래야 오히려 조종성헌이 회복된다는 것이다. 결국 조종성헌에 해당하지 않는 부당한 법령을 오래된 선왕의 법이라며 고칠 수 없다고 고집하는 권세가들에 대하여, 그런 법령은 변하지 않아야 할 ‘이’의 영역에 속하는 것이 아니라는 이론적인 공박을 펼친 것이다. 자신의 이기론을 바탕으로 더 나은 세상을 이루려 했던 율곡 이이의 노력은 수기치인의 실천이라 할 만하다.
[189] s=100 | 윗글에 대한 이해로 적절하지  것은?
[190] s=74  | ① 성학은 하늘의 도리와 합일된 사람이 되기 위한 학문이다.
[191] s=74  | ② 󰡔성학집요󰡕에는 유학의 이념이 조선에서 실현되기를 바라는 마음이 담겨 있다.
[192] s=74  | ③ ‘수교’는 특정한 사안을 해결하는 과정을 거쳐 제정된다.
[193] s=74  | ④ ‘대전’에 오르는 규정은 지속적으로 시행되면서 폐단이 없었다는 요건을 갖추어야 한다.
[194] s=74  | ⑤ ≪경국대전≫은 확정된 이후에도 시대에 맞게 규정이 개정되면서 기본 법전으로서의 지위를 유지하였다.
[211] s=100 | ‘율곡’의 관점에서 ‘이’와 ‘기’에 대해 설명한 것으로 적절하지  것은?
[212] s=74  | ① 천재지변은 ‘기’의 현상으로 여기에도 ‘이’가 더불어 존재 한다
[213] s=74  | ② ‘기’는 만물에 내재된 법칙이라는 점에서, 시공을 초월하는 ‘이’와 대비된다.
[214] s=74  | ③ 법제는 ‘이’에 속하지 않지만 ‘이’를 드러낼 수 있도록 다듬어져야 할 대상이다.
[215] s=74  | ④ 탁한 기질을 깨끗하게 변화시켜 ‘이’라 할 수 있는 선한 본성이 드러나게 할 수 있다.
[216] s=74  | ⑤ 모든 사물들은 동일한 ‘이’를 갖지만 서로 다른 ‘기’로 말미암아 다양한 모습으로 나타난다.
[217] s=100 | ㉠에 관한 이해로 가장 적절한 것은?
[218] s=74  | ① ‘수기’와 ‘치인’은 각각 ‘이’와 ‘기’의 정화를 통해 ‘성인’이 됨을 목표로 한다.
[219] s=74  | ② ‘이기지묘’는 ‘수기’와 ‘치인’의 상호 대립적이고 분리 가능한 특징을 설명해 준다.
[220] s=74  | ③ ‘수기’를 위한 수양론과 ‘치인’을 위한 경세론은 모두 천도의 실현을 목적으로 한다.
[221] s=74  | ④ ‘이통기국’은 ‘수기’와 ‘치인’을 통해 ‘성인’이 지닌 기질적 병폐의 극복이 가능함을 말해 준다.
[222] s=74  | ⑤ ‘수기’와 ‘치인’을 위한 기질 변화 방법으로는 독서와 공부를 통해 시비를 분별하는 ‘역행’이 있다.
[241] s=100 | 윗글의 ‘율곡’과 <보기>의 ‘플라톤’의 견해를 비교하여 이해한 것으로 가장 적절한 것은?
[242] s=64  | <보 기> 플라톤은 물질적이고 가변적인 사물들이 존재하는 현실 세계와 비물질적이고 불변적이고 완벽한 이데아들이 존재하는 이상 세계를 구분한다. 이데아는 물질로부터 떨어져 있고 또한 시간과 공간의 제약도 받지 않지만, 마음속의 추상적 개념이 아니라 실제로 존재하는 것이다. 이상 세계에서 영혼으로 존재하면서 이데아를 직접 접했던 인간은, 태어나기 위해 이 땅에 내려오는 과정에서 그에 대한 모든 기억을 상실한다. 물질의 한계로 인해 이데아의 완벽함이 현실 세계에서 똑같이 구현되지는 않지만, 그래도 이데아를 가장 잘 기억하는 사람이 통치자가 되어 그것을 이땅에서 구현해 내려 한다면 그만큼 좋은 국가를 만들게 될 것이다. 이 통치자가 바로 플라톤이 말하는 ‘철학자 왕’이다.
[244] s=66  | <보 기>
[248] s=67  | 플라톤은 물질적이고 가변적인 사물들이 존재하는 현실 세계와 비물질적이고 불변적이고 완벽한 이데아들이 존재하는 이상 세계를 구분한다. 이데아는 물질로부터 떨어져 있고 또한 시간과 공간의 제약도 받지 않지만, 마음속의 추상적 개념이 아니라 실제로 존재하는 것이다. 이상 세계에서 영혼으로 존재하면서 이데아를 직접 접했던 인간은, 태어나기 위해 이 땅에 내려오는 과정에서 그에 대한 모든 기억을 상실한다. 물질의 한계로 인해 이데아의 완벽함이 현실 세계에서 똑같이 구현되지는 않지만, 그래도 이데아를 가장 잘 기억하는 사람이 통치자가 되어 그것을 이땅에서 구현해 내려 한다면 그만큼 좋은 국가를 만들게 될 것이다. 이 통치자가 바로 플라톤이 말하는 ‘철학자 왕’이다.
[250] s=68  | ① 율곡의 ‘이’는 플라톤의 ‘이데아’와 달리 물질과 분리됨 없이 존재한다.
[251] s=68  | ② 율곡의 ‘이’는 플라톤의 ‘이데아’와 달리 시간과 공간의 제약을 받지 않는다.
[252] s=68  | ③ 율곡의 ‘성인’은 플라톤의 ‘철학자 왕’과 달리 수양보다는 기억에 의존하여 통치한다.
[253] s=68  | ④ 율곡의 ‘이’는 플라톤의 ‘이데아’와 마찬가지로 마음속에 존재하는 추상적 개념이다.
[254] s=68  | ⑤ 율곡이 생각하는 이상 사회는 플라톤의 이상 세계와 마찬가지로 현실에서 완전하게 실현될 수 있다.
[255] s=100 | 윗글에 나타난 ‘율곡’의 법제 개혁론에 대한 설명으로 적절하지  것은?
[256] s=74  | ① 이기론을 바탕으로 한 경세론의 실천으로서 법제 개혁을 주장한다.
[257] s=74  | ② ‘이’와 ‘기’에 대해 잘못된 견해를 제시하는 국왕에게 선왕의 법을 개혁할 것을 건의한다.
[258] s=74  | ③ 조종성헌 존중의 전통을 악용하는 이들에 의해 법제 개혁이 가로막히는 경향을 비판한다.
[259] s=74  | ④ 삼강과 같은 불변적 가치를 거론하는 까닭은 결국 법제 개혁의 방향을 제시하기 위한 것이다.
[260] s=74  | ⑤ ≪경국대전≫이 확정된 이후 연산군 때 재정된 악법들은 개혁 대상이 되어야 한다고 본다.
[263] s=100 | 윗글을 바탕으로 <보기>의 ‘숙종’을 이해한 반응으로 가장 적절한 것은? [3점]
[264] s=64  | <보 기> 숙종 25년(1699) 회양부사 갑은 자신이 행차하는데 무례했다는 이유로 선비 을을 잡아 곤장을 쳐서 죽게 하였다. 이 사건에 대해 숙종은 사형에 해당하는 죄라고 보았으나, 대신들은 형벌을 집행하다가 일어난 일이니 사형에 해당하지 않는다는 의견을 올렸다. 이에 숙종은 꾸짖었다. “≪경국대전≫은 역대 선왕들께서 만들어 한결같이 시행해온 성스러운 규범이다. 결코 멋대로 적용해서는 아니 된다. 국왕에게 법을 잘못 적용하라고 하는가? 갑이 살아서 나가게 되면 무법의 나라가 된다.” 여기서 숙종과 대신들은 아래의 규정들 가운데 어느 규정을 적용할지에 대하여 의견 대립을 보이고 있다. (가) ≪경국대전≫“≪대명률≫을 형법으로 적용한다.”(나) ≪경국대전≫“관리가 형벌 집행을 남용하여 죽음에 이르게 한 경우에는 곤장 100대에 처하고 영구히 관리로 임용하지 않는다.” (다) ≪대명률≫“사람을 죽인 자는 사형에 처한다.”
[266] s=66  | <보 기>
[270] s=67  | 숙종 25년(1699) 회양부사 갑은 자신이 행차하는데 무례했다는 이유로 선비 을을 잡아 곤장을 쳐서 죽게 하였다. 이 사건에 대해 숙종은 사형에 해당하는 죄라고 보았으나, 대신들은 형벌을 집행하다가 일어난 일이니 사형에 해당하지 않는다는 의견을 올렸다. 이에 숙종은 꾸짖었다. “≪경국대전≫은 역대 선왕들께서 만들어 한결같이 시행해온 성스러운 규범이다. 결코 멋대로 적용해서는 아니 된다. 국왕에게 법을 잘못 적용하라고 하는가? 갑이 살아서 나가게 되면 무법의 나라가 된다.”
[271] s=67  | 여기서 숙종과 대신들은 아래의 규정들 가운데 어느 규정을 적용할지에 대하여 의견 대립을 보이고 있다.
[273] s=67  | (가) ≪경국대전≫“≪대명률≫을 형법으로 적용한다.”(나) ≪경국대전≫“관리가 형벌 집행을 남용하여 죽음에 이르게 한 경우에는 곤장 100대에 처하고 영구히 관리로 임용하지 않는다.” (다) ≪대명률≫“사람을 죽인 자는 사형에 처한다.”
[274] s=70  | (가) ≪경국대전≫
[275] s=70  | “≪대명률≫을 형법으로 적용한다.”
[277] s=71  | (나)
[278] s=71  | ≪경국대전≫
[281] s=71  | “관리가 형벌 집행을 남용하여 죽음에 이르게 한 경우에는 곤장 100대에 처하고 영구히 관리로 임용하지 않는다.”
[282] s=70  | (다)
[283] s=70  | ≪대명률≫
[284] s=70  | “사람을 죽인 자는 사형에 처한다.”
[285] s=68  | ① 숙종은 갑의 행위에 (다)를 적용하는 것이 조종성헌을 존중하는 것이라고 보고 있군.
[286] s=68  | ② 숙종은 완성된 지 200년이 넘었다는 이유로 ≪경국대전≫의 규정을 적용하지 않으려 하는군.
[287] s=68  | ③ 숙종이 ≪대명률≫의 규정인 (다)를 적용하려는 것은 ‘대전’의 규정을 따르지 않는 태도라 해야겠군.
[288] s=68  | ④ 숙종이 (나)의 적용을 찬성하지 않는 이유는 (나)가 양법미의가 될 수 없다고 생각하기 때문이군.
[289] s=68  | ⑤ 숙종은 선왕의 법을 적용하는 대신들의 방식에는 불만이지만 갑의 행위가 정당한 형벌 집행이라고 보는 데는 동의하는군.
[291] s=0   | SELF CHECK LIST – 12 STEP
[292] s=30  | SELF CHECK LIST – 12 STEP
[294] s=1   | FINAL BOOST 2날짜 [     ] 소요 시간 [     ] 첫 난이도 [     ] RETRY 난이도 [    ]
[295] s=1   | FINAL BOOST 2
[296] s=1   | 날짜 [     ] 소요 시간 [     ] 첫 난이도 [     ] RETRY 난이도 [    ]
[297] s=69  | 오늘날 우리는 온갖 행위들이 ‘예술’로 인정되는 경우를 자주 본다. 그리고 이 경우 대상의 순수한 예술적 가치 이외의 다른 가치들은 논외로 하는 것이 일반적이다. 즉 예술만의 고유하고 독자적인 존립을 인정하고 타 영역의 간섭을 원칙적으로 거부하는 인식이 보편화되어 있는 것이다. 이러한 인식을 대변하는 대표적 예술론의 하나가 바로 체계 이론 미학이다. 루만에 의해 개척된 체계 이론은 사회 각 영역이 고유한 자립성을 확보하면서 하나의 ‘체계’로 분리 독립되는 과정을 분석하는데, 이 이론을 미학에 적용하여 예술을 독자적 체계로 기술하려는 이들은 헤겔의 미학을 자신들의 주장을 정당화하는 중요한 단서로 활용하곤 한다.
[298] s=73  | 흥미로운 것은 그들이 예술에 대한 호의적인 결론을 도출하려고 끌어들인 헤겔의 예술론이 본래는 오히려 예술에 대한 부정적 결론, 즉 ‘예술의 종언’ 명제로 요약된다는 점이다. 따라서 이 명제가 어떻게 예술 옹호론을 위한 실마리로 전용될 수 있는지를 따져 볼 필요가 있다.
[299] s=73  | 헤겔 미학의 핵심은 두 가지이다. 첫째, 그는 예술을 ‘이념의 감성적 현현(顯現)’, 즉 절대적 진리의 구체적 형상화로 규정한다. 그는 지고의 가치인 진리를 예술의 내용으로 규정함으로써 예술을 종교, 철학과 함께 인간 정신의 최고 영역에 포함시킨다. 이는 예술이 헛된 가상이거나 감성적 도취 또는 광기의 산물이어서 정신의 최고 목표인 진리 매개가 절대 불가능하다는 플라톤의 판정으로부터 예술을 방어할 수 있는 매력적인 논변일 수 있다. 둘째, 그럼에도 헤겔의 최종적인 미학적 결론은 오히려 이와 모순되는 것처럼 보인다. 그는 “우리에게 예술은 더 이상 진리가 실존하는 최고의 방식이 아니다.
[300] s=77  | 중요한 것은 이 두 주장이 묘한 인과관계에 있다는 것이다. 즉 이 둘을 하나로 묶으면 ㉠‘예술은 진리 매개가 그것의 과제이기 때문에 종말을 맞는다’가 된다. 다분히 역설적으로 보이는 이러한 예술관을 이해하기 위한 열쇠는 헤겔이 예술의 내용과 형식으로 각각 설정한 ‘진리’와 ‘감성’의 상관관계에 있다. 객관적 관념론자인 그는 진리란 ‘우주의 근본 구조로서의 순수하고 완전한 논리’, 즉 ‘이념’이므로, 그것을 참되게 매개하는 정신의 형식은 바로 그 순수 논리에 대응하는 ‘순수한 이성적 사유’라고 생각한다. 따라서 그 본질상 감성을 형식으로 하는 예술이 이념을 매개할 수 있는 가능성은 인간 정신의 작동 방식이 근본적으로 감성적이어서 아직 이성적 사유 능력이 제대로 발휘될 수 없었던 먼 과거의 역사적 유년기에 국한되며, 예술이 담당했던 과제가 근대에는 철학으로 이관되었다고 한다. 더욱이 헤겔은 이러한 발전의 방향이 영원히 불가역적이라고 여긴다.
[301] s=78  | 체계 이론가들은 바로 헤겔의 결론인 ‘더 이상 기대할 수 없는, 예술의 진리 매개 가능성’에서 역전을 위한 힌트를 얻는다. 즉 헤겔이 예술의 종언을 선언하는 바로 그 지점에서 이들은 예술의 진정한 실존 근거를 찾거니와, 예술을 진리 영역으로부터 ‘퇴출’시킨 헤겔의 전략은 이들에게는 오히려 오래도록 그것을 짓눌러 왔던 중책으로부터 예술을 ‘해방’시키는 것을 뜻한다. 그 때문에 근대 이후에 존속하는 예술은 헤겔에게는 ‘무의미한 잔여물’인 반면, 이들에게는 ‘비로소 예술이 된 예술’이다. 모든 외적 연관들이 차단됨으로써, 즉 일체의 예술 외적 요구로부터 자유로운 자족적 체계로 분리 독립됨으로써, 무엇을 어떻게 표현할 것인가의 선택권은 전적으로 예술에게 주어지며, 이에 따라 예술은 예전에는 상상도 할 수 없던 많은 것을 내용과 형식으로 삼을 수 있게 된다.
[302] s=73  | 그런데 체계 이론의 이러한 예술 해방 전략에는 석연찮은 점이 남아 있다. 왜냐하면 ⓐ은 예술의  고유한 자립성을 인정하면서도 여전히 진리와 예술의 긍정적 연관을 매력 있게 정당화하는 담론을 미학에서 기대하기 때문이다. 따라서 이들에게 ⓑ체계 이론 미학은 ‘절반의 성공’에 불과한 것으로 평가된다. 이렇게 평가되는 원인은 체계 이론 미학이 헤겔 미학을 전거로 삼으면서 그 원래의 핵심 주제를 방기(放棄)한 데 있다. 따라서 예술계의 중요한 요구를 충족하는 좀 더 의미 있는 예술론이 되려면 체계 이론 미학은 진리와 연관된 예술의 가치를 묻는 물음에 대해서도 긍정적 답변을 줄 수 있는 이론으로 성숙해져야 한다.
[309] s=100 | ㉠에 대한 설명으로 가장 적절한 것은?
[310] s=79  | ①예술이 진리 매개라는 목적을 달성하고자 하더라도 정신의 작동 방식이 감성적 단계를 넘어선 시대에는 그 실현 가능성이 없다.
[311] s=79  | ②예술의 본질은 순수한 심미적 가치의 구현이지만, 진리 매개라는 이질적 목적이 개입함으로써 예술의 자율성이 훼손된다.
[312] s=79  | ③
[313] s=79  | ④
[314] s=79  | ⑤
[330] s=100 | ⓐ가 ⓑ를 평가한 것으로 가장 적절한 것은?
[331] s=79  | ① 고전적인 학설을 활용했지만, 그것의 핵심적 논점에서 벗어났다.
[332] s=79  | ② 체계적인 이론을 정립했지만, 그것의 현실적 실용화는 미흡했다.
[333] s=79  | ③ 유의미한 주제를 제시했지만, 그것의 대중적 공론화가 어려웠다.
[334] s=79  | ④ 흥미로운 현상을 발견했지만, 그것의 인과적 규명에는 실패했다.
[335] s=79  | ⑤ 매력적인 가설을 수립했지만, 그것의 경험적 검증에는 실패했다.
[337] s=100 | <보기>의 주장에 대한 ‘헤겔’의 평가로 가장 적절한 것은?
[338] s=82  | <보 기>근대에 새로이 출현한 장르인 오페라는 기존의 모든 예술적 요소를 하나의 장르로 통합한 것으로, 고대 그리스의 비극에 견줄 수 있을 만큼 완전성을 갖춘 종합 예술이다. 오페라의 이러한 통합성은 그 근본 원리 면에서 다음 시대에 이루어질 영화와 뮤지컬의 탄생을 예고한다.
[340] s=60  | <보 기>
[344] s=81  | 근대에 새로이 출현한 장르인 오페라는 기존의 모든 예술적 요소를 하나의 장르로 통합한 것으로, 고대 그리스의 비극에 견줄 수 있을 만큼 완전성을 갖춘 종합 예술이다. 오페라의 이러한 통합성은 그 근본 원리 면에서 다음 시대에 이루어질 영화와 뮤지컬의 탄생을 예고한다.
[345] s=79  | ① 오페라의 양식적 장대함은 고대 그리스 비극의 현대적 재현이다.
[346] s=79  | ②
[347] s=79  | ③오페라의 완성도 높은 양식이 예술의 본래적 가치의 구현을 의미하지는 않는다.
[348] s=79  | ④
[349] s=79  | ⑤
[414] s=61  | SELF CHECK LIST – V 표시
[415] s=30  | SELF CHECK LIST – V 표시
[416] s=61  | 0. 지문 12m 타이트하게 읽기 – 라이트하게 단어 잡기
[417] s=30  | 0. 지문 12m 타이트하게 읽기 – 라이트하게 단어 잡기
[419] s=61  | 1. 문단별로 요약해보기 – 회상해서 쓰기
[420] s=30  | 1. 문단별로 요약해보기 – 회상해서 쓰기
[422] s=61  | 2. 문제 풀기
[423] s=30  | 2. 문제 풀기
[425] s=61  | 3. 지문 안된 파트, 선지 안된 파트 형광 표시하기
[426] s=30  | 3. 지문 안된 파트, 선지 안된 파트 형광 표시하기
[428] s=61  | 4. 지문 다시 차근차근 정보 정리하면서 읽기 5. 지문 안보고 백지에 설명하듯 쓰기 + 구문장6. 문제 다시 풀고 원인 , 나의 문제점 고민하기7. 채점 및 해설보기8. 내 풀이와 해설지 풀이 및 사고 과정 비교9. 앞으로 해야하는 것, 방향성 체크10. 체계 만들기- 단권화
[429] s=30  | 4. 지문 다시 차근차근 정보 정리하면서 읽기
[431] s=30  | 5. 지문 안보고 백지에 설명하듯 쓰기 + 구문장
[433] s=30  | 6. 문제 다시 풀고 원인 , 나의 문제점 고민하기
[435] s=30  | 7. 채점 및 해설보기
[437] s=30  | 8. 내 풀이와 해설지 풀이 및 사고 과정 비교
[439] s=30  | 9. 앞으로 해야하는 것, 방향성 체크
[441] s=30  | 10. 체계 만들기- 단권화
[443] s=61  | 11. 회상- 백지 노트에 다시 지문 복습하기-낮,밤
[444] s=30  | 11. 회상- 백지 노트에 다시 지문 복습하기-낮,밤
[446] s=1   | FINAL BOOST 3날짜 [     ] 소요 시간 [     ] 첫 난이도 [     ] RETRY 난이도 [    ]
[447] s=1   | FINAL BOOST 3
[448] s=1   | 날짜 [     ] 소요 시간 [     ] 첫 난이도 [     ] RETRY 난이도 [    ]
[450] s=206 | 경제학에서는 증거에 근거한 정책 논의를 위해 사건의 효과를 평가해야 할 경우가 많다. 어떤 사건의 효과를 평가한다는 것은 사건 후의 결과와 사건이 없었을 경우에 나타났을 결과를 비교하는 일이다. 그런데 가상의 결과는 관측할 수 없으므로 실제로는 사건을 경험한 표본들로 구성된 시행집단의 결과와, 사건을 경험하지 않은 표본들로 구성된 비교집단의 결과를 비교하여 사건의 효과를 평가한다. 따라서 이 작업의 관건은 그 사건 외에는 결과에 차이가 ⓐ날 이유가 없는 두 집단을 구성하는 일이다. 가령 어떤 사건이 임금에 미친 효과를 평가할 때, 그 사건이 없었다면 시행집단과 비교집단의 평균 임금이 같을 수밖에 없도록 두 집단을 구성하는 것이다. 이를 위해서는 두 집단에 표본이 임의로 배정되도록 사건을 설계하는 실험적 방법이 이상적이다. 그러나 사람을 표본으로 하거나 사회 문제를 다룰 때에는 이 방법을 적용할 수 없는 경우가 많다.
[451] s=206 | 이중차분법은 시행집단에서 일어난 변화에서 비교집단에서 일어난 변화를 뺀 값을 사건의 효과라고 평가하는 방법이다. 이는 사건이 없었더라도 비교집단에서 일어난 변화와 같은 크기의 변화가 시행집단에서도 일어났을 것이라는 평행추세 가정에 근거해 사건의 효과를 평가한 것이다. 이 가정이 충족되면 사건 전의 상태가 평균적으로 같도록 두 집단을 구성하지 않아도 된다.
[452] s=206 | 이중차분법은 1854년에 스노가 처음 사용했다고 알려져 있다. 그는 두 수도 회사로부터 물을 공급받는 런던의 동일 지역 주민들에 주목했다. 같은 수원을 사용하던 두 회사 중 한 회사만 수원을 ⓑ바꿨는데 주민들은 자신의 수원을 몰랐다. 스노는 수원이 바뀐 주민들과 바뀌지 않은 주민들의 수원 교체 전후 콜레라로 인한 사망률의 변화들을 비교함으로써 콜레라가 공기가 아닌 물을 통해 전염된다는 결론을 ⓒ내렸다. 경제학에서는 1910년대에 최저임금제 도입 효과를 파악하는 데 이 방법이 처음 이용되었다.
[453] s=206 | 평행추세 가정이 충족되지 않는 경우에 이중차분법을 적용하면 사건의 효과를 잘못 평가하게 된다. 예컨대 ㉠어떤 노동자 교육 프로그램의 고용 증가 효과를 평가할 때, 일자리가 급격히 줄어드는 산업에 종사하는 노동자의 비중이 비교집단에 비해 시행 집단에서 더 큰 경우에는 평행추세 가정이 충족되지 않을 것이다. 그렇다고 해서 집단 간 표본의 통계적 유사성을 ⓓ높이려고 사건 이전 시기의 시행집단을 비교집단으로 설정하는 것이 평행 추세 가정의 충족을 보장하는 것은 아니다. 예컨대 고용처럼 경기변동에 민감한 변화라면 집단 간 표본의 통계적 유사성보다 변화 발생의 동시성이 이 가정의 충족에서 더 중요할 수 있기 때문이다.
[454] s=206 | 여러 비교집단을 구성하여 각각에 이중차분법을 적용한 평가 결과가 같음을 확인하면 평행추세 가정이 충족된다는 신뢰를 줄 수 있다. 또한 시행집단과 여러 특성에서 표본의 통계적 유사성이 높은 비교집단을 구성하면 평행추세 가정이 위협받을 가능성을 ⓔ줄일 수 있다. 이러한 방법들을 통해 이중차분법을 적용한 평가에 대한 신뢰도를 높일 수 있다.
[462] s=100 | 윗글에 대한 이해로 적절하지 않은 것은?
[463] s=42  | ① 실험적 방법에서는 시행집단에서 일어난 평균 임금의 사건 전후 변화를 어떤 사건이 임금에 미친 효과라고 평가한다.
[464] s=42  | ② 사람을 표본으로 하거나 사회 문제를 다룰 때에도 실험적 방법을 적용하는 경우가 있다.
[465] s=42  | ③ 평행추세 가정에서는 특정 사건 이외에는 두 집단의 변화에 차이가 날 이유가 없다고 전제한다.
[466] s=42  | ④ 스노의 연구에서 시행집단과 비교집단의 콜레라 사망률은 사건 후뿐만 아니라 사건 전에도 차이가 있었을 수 있다.
[467] s=42  | ⑤ 스노는 수원이 바뀐 주민들과 바뀌지 않은 주민들 사이에 공기의 차이는 없다고 보았을 것이다.
[487] s=100 | 다음은 이중차분법을 ㉠에 적용할 경우에 나타날 결과를 추론한 것이다. A와 B에 들어갈 말을 바르게 짝지은 것은?
[488] s=52  | <보 기>프로그램이 없었다면 시행집단에서 일어났을 고용률 증가는, 비교집단에서 일어난 고용률 증가와/보다 (  A  ) 것이다. 그러므로 ㉠에 이중차분법을 적용하여 평가한 프로그램의 고용 증가 효과는 평행추세 가정이 충족되는 비교집단을 이용하여 평가한 경우의 효과보다 (  B  ) 것이다.
[490] s=60  | <보 기>
